"Start.station.number","starthour","variable","value"
31030,15,"inflow",115
31030,16,"inflow",166
31030,17,"inflow",362
31030,18,"inflow",352
31030,19,"inflow",259
31030,20,"inflow",259
31030,21,"inflow",230
31030,22,"inflow",210
31030,23,"inflow",75
31031,0,"inflow",42
31031,1,"inflow",29
31031,2,"inflow",9
31031,3,"inflow",7
31031,4,"inflow",1
31031,5,"inflow",3
31031,6,"inflow",5
31031,7,"inflow",18
31031,8,"inflow",38
31031,9,"inflow",53
31031,10,"inflow",66
31031,11,"inflow",95
31031,12,"inflow",107
31031,13,"inflow",100
31031,14,"inflow",112
31031,15,"inflow",130
31031,16,"inflow",202
31031,17,"inflow",410
31031,18,"inflow",478
31031,19,"inflow",263
31031,20,"inflow",184
31031,21,"inflow",147
31031,22,"inflow",110
31031,23,"inflow",61
31032,0,"inflow",6
31032,2,"inflow",NA
31032,3,"inflow",NA
31032,4,"inflow",NA
31032,5,"inflow",NA
31032,6,"inflow",3
31032,7,"inflow",12
31032,8,"inflow",13
31032,9,"inflow",15
31032,10,"inflow",23
31032,11,"inflow",28
31032,12,"inflow",112
31032,13,"inflow",44
31032,14,"inflow",30
31032,15,"inflow",49
31032,16,"inflow",72
31032,17,"inflow",149
31032,18,"inflow",159
31032,19,"inflow",93
31032,20,"inflow",52
31032,21,"inflow",30
31032,22,"inflow",24
31032,23,"inflow",17
31033,0,"inflow",18
31033,1,"inflow",7
31033,2,"inflow",8
31033,3,"inflow",2
31033,4,"inflow",2
31033,5,"inflow",5
31033,6,"inflow",34
31033,7,"inflow",162
31033,8,"inflow",73
31033,9,"inflow",83
31033,10,"inflow",48
31033,11,"inflow",71
31033,12,"inflow",67
31033,13,"inflow",71
31033,14,"inflow",64
31033,15,"inflow",62
31033,16,"inflow",78
31033,17,"inflow",130
31033,18,"inflow",201
31033,19,"inflow",122
31033,20,"inflow",93
31033,21,"inflow",57
31033,22,"inflow",46
31033,23,"inflow",24
31034,0,"inflow",48
31034,1,"inflow",32
31034,2,"inflow",12
31034,3,"inflow",8
31034,4,"inflow",1
31034,5,"inflow",3
31034,6,"inflow",21
31034,7,"inflow",160
31034,8,"inflow",262
31034,9,"inflow",351
31034,10,"inflow",106
31034,11,"inflow",107
31034,12,"inflow",113
31034,13,"inflow",104
31034,14,"inflow",104
31034,15,"inflow",115
31034,16,"inflow",150
31034,17,"inflow",345
31034,18,"inflow",584
31034,19,"inflow",408
31034,20,"inflow",260
31034,21,"inflow",155
31034,22,"inflow",97
31034,23,"inflow",97
31035,0,"inflow",39
31035,1,"inflow",14
31035,2,"inflow",19
31035,3,"inflow",4
31035,5,"inflow",5
31035,6,"inflow",8
31035,7,"inflow",28
31035,8,"inflow",58
31035,9,"inflow",114
31035,10,"inflow",50
31035,11,"inflow",63
31035,12,"inflow",67
31035,13,"inflow",90
31035,14,"inflow",98
