"","Start.station.number","starthour","freq.x","freq.y"
"784",31033,4,2,-2
"785",31033,5,101,-5
"786",31033,6,36,-34
"787",31033,7,120,-162
"788",31033,8,132,-73
"789",31033,9,131,-83
"790",31033,10,117,-48
"791",31033,11,91,-71
"792",31033,12,104,-67
"793",31033,13,109,-71
"794",31033,14,88,-64
"795",31033,15,105,-62
"796",31033,16,106,-78
"797",31033,17,144,-130
"798",31033,18,194,-201
"799",31033,19,155,-122
"800",31033,20,108,-93
"801",31033,21,70,-57
"802",31033,22,39,-46
"803",31033,23,53,-24
"804",31034,0,31,-48
"805",31034,1,27,-32
"806",31034,2,16,-12
"807",31034,3,14,-8
"808",31034,4,4,-1
"809",31034,5,4,-3
"810",31034,6,125,-21
"811",31034,7,513,-160
"812",31034,8,322,-262
"813",31034,9,257,-351
"814",31034,10,140,-106
"815",31034,11,148,-107
"816",31034,12,167,-113
"817",31034,13,156,-104
"818",31034,14,134,-104
"819",31034,15,116,-115
"820",31034,16,204,-150
"821",31034,17,417,-345
"822",31034,18,515,-584
"823",31034,19,299,-408
"824",31034,20,174,-260
"825",31034,21,97,-155
"826",31034,22,64,-97
"827",31034,23,46,-97
"828",31035,0,26,-39
"829",31035,1,14,-14
"830",31035,2,2,-19
"831",31035,3,1,-4
"832",31035,5,22,-5
"833",31035,6,84,-8
"834",31035,7,438,-28
"835",31035,8,527,-58
"836",31035,9,235,-114
"837",31035,10,133,-50
"838",31035,11,129,-63
"839",31035,12,141,-67
"840",31035,13,99,-90
"841",31035,14,98,-98
"842",31035,15,112,-104
"843",31035,16,120,-167
"844",31035,17,142,-332
"845",31035,18,233,-431
"846",31035,19,173,-242
"847",31035,20,113,-144
"848",31035,21,51,-122
"849",31035,22,31,-109
"850",31035,23,26,-57
"851",31036,0,3,-26
"852",31036,1,2,-11
"853",31036,4,2,-2
"854",31036,5,8,-2
"855",31036,6,69,-12
"856",31036,7,423,-94
"857",31036,8,415,-22
"858",31036,9,204,-36
"859",31036,10,109,-45
"860",31036,11,116,-71
"861",31036,12,95,-64
"862",31036,13,103,-79
"863",31036,14,89,-91
"864",31036,15,77,-103
"865",31036,16,107,-182
"866",31036,17,146,-317
"867",31036,18,196,-350
"868",31036,19,120,-201
"869",31036,20,55,-142
"870",31036,21,23,-117
"871",31036,22,10,-64
"872",31036,23,3,-66
"873",31037,0,74,-16
"874",31037,1,33,-14
"875",31037,2,22,-11
"876",31037,3,6,-1
"877",31037,4,2,-5
